feature,mean,scale
Latitude,36.99388666666666,0.11648601639968047
Longitude,42.695545925925934,0.14832643184966623
Depth top [m],0.1416666666666667,0.22735394171822665
Depth bot [m],0.2851851851851852,0.28636121155670674
Depth sed [m],0.21342592592592594,0.256634781702906
pH,7.2827777777777785,0.18533669727829058
CaCO3 [%],29.823981481481482,9.729291648239808
TN [%],0.10226851851851854,0.06323231804981817
TS [%],0.024999999999999998,1.0
TC [%],4.639583333333333,1.3142916122876347
TOC [%],1.065185185185185,0.7531970211992903
2000-630 µm [%],2.981388888888889,2.4456714250151843
630-200 µm [%],5.103541666666667,4.385948220952341
200-125 µm [%],3.2926851851851846,2.8628362188058265
125-63 µm [%],5.946851851851851,4.750820279688969
2000-63 µm [%],19.1378587962963,14.875322886951292
63-20 µm gU [%],8.572222222222225,4.738682097871871
20-6.3 µm mU [%],16.49074074074074,5.065689544614263
6.3-2 µm fU [%],18.395370370370372,6.856061582160806
63-2 µm [%],44.23935185185184,10.009379977944034
2-0.63 µm [%],12.863657407407405,4.152796545283576
0.63-0.063 µm [%],23.135185185185183,11.664992457767838
2-0.063 µm [%],36.455555555555556,14.250796490627602
63-0.063 µm [%],80.75150462962964,14.828297826393268
<2000 µm [%],99.86918981481482,0.2993833513301442
Part size mean [mm],0.09516064814814815,0.067205294129783
Bulk Density [g/cm³],1.142845204402516,0.12455872857611569
Field Capacity [m³/m³],0.40639518367575117,0.0730480440306748
Wilting Point [m³/m³],0.21584379961320757,0.044351367964407765
Available Water Capacity [m³/m³],0.19020029159495103,0.03596384308742145
Hydraulic Conductivity [cm/hr],0.7089713530555256,0.4064772088074823
CEC [cmol/kg],18.385450016160025,5.956294315461194
Infiltration Rate [cm/hr],0.37686552285963565,0.3725918417527354
